,0
192,<=50K
193,<=50K
194,<=50K
195,<=50K
196,<=50K
197,<=50K
198,<=50K
199,<=50K
200,<=50K
201,<=50K
202,<=50K
203,<=50K
204,<=50K
205,<=50K
206,<=50K
207,<=50K
208,<=50K
209,<=50K
210,<=50K
211,<=50K
212,>50K
213,<=50K
214,<=50K
215,<=50K
216,<=50K
217,<=50K
218,<=50K
219,<=50K
220,<=50K
221,<=50K
222,<=50K
223,>50K
224,<=50K
225,<=50K
226,<=50K
227,<=50K
228,<=50K
229,<=50K
230,<=50K
231,<=50K
232,<=50K
233,<=50K
234,<=50K
235,<=50K
236,<=50K
237,<=50K
238,<=50K
239,<=50K
240,<=50K
241,<=50K
242,>50K
243,<=50K
244,<=50K
245,<=50K
246,>50K
247,<=50K
248,<=50K
249,<=50K
250,<=50K
251,<=50K
252,<=50K
253,<=50K
254,<=50K
255,<=50K
256,<=50K
257,<=50K
258,<=50K
259,<=50K
260,<=50K
261,>50K
262,<=50K
263,<=50K
264,<=50K
265,<=50K
266,<=50K
267,<=50K
268,<=50K
269,<=50K
270,<=50K
271,<=50K
272,<=50K
273,>50K
274,<=50K
275,<=50K
276,>50K
277,<=50K
278,>50K
279,>50K
280,<=50K
281,>50K
282,<=50K
283,<=50K
284,<=50K
285,<=50K
286,<=50K
287,<=50K
288,<=50K
289,<=50K
290,>50K
291,<=50K
292,<=50K
293,<=50K
294,>50K
295,<=50K
296,<=50K
297,<=50K
298,>50K
299,<=50K
300,<=50K
301,<=50K
302,<=50K
303,<=50K
304,<=50K
305,<=50K
306,<=50K
307,<=50K
308,<=50K
309,<=50K
310,<=50K
311,<=50K
312,<=50K
313,<=50K
314,<=50K
315,<=50K
316,<=50K
317,<=50K
318,<=50K
319,<=50K
320,<=50K
321,<=50K
322,<=50K
323,<=50K
324,<=50K
325,<=50K
326,<=50K
327,<=50K
328,<=50K
329,<=50K
330,<=50K
331,<=50K
332,<=50K
333,<=50K
334,<=50K
335,<=50K
336,<=50K
337,<=50K
338,<=50K
339,<=50K
340,<=50K
341,<=50K
342,<=50K
343,<=50K
344,<=50K
345,<=50K
346,<=50K
347,<=50K
348,<=50K
349,<=50K
350,<=50K
351,<=50K
352,>50K
353,<=50K
354,<=50K
355,<=50K
356,>50K
357,>50K
358,<=50K
359,<=50K
360,<=50K
361,<=50K
362,<=50K
363,<=50K
364,<=50K
365,>50K
366,<=50K
367,<=50K
368,<=50K
369,>50K
370,<=50K
371,<=50K
372,<=50K
373,<=50K
374,<=50K
375,<=50K
376,>50K
377,<=50K
378,<=50K
379,<=50K
380,<=50K
381,>50K
382,<=50K
383,>50K
384,<=50K
385,<=50K
386,<=50K
387,>50K
388,<=50K
389,<=50K
390,<=50K
391,<=50K
392,<=50K
393,<=50K
394,<=50K
395,<=50K
396,<=50K
397,<=50K
398,>50K
399,<=50K
400,>50K
401,<=50K
402,<=50K
403,<=50K
404,<=50K
405,<=50K
406,>50K
407,<=50K
408,<=50K
409,<=50K
410,>50K
411,<=50K
412,<=50K
413,<=50K
414,<=50K
415,<=50K
416,<=50K
417,<=50K
418,<=50K
419,<=50K
420,<=50K
421,>50K
422,<=50K
423,>50K
424,<=50K
425,<=50K
426,>50K
427,<=50K
428,<=50K
429,>50K
430,<=50K
431,<=50K
432,<=50K
433,<=50K
434,<=50K
435,<=50K
436,<=50K
437,<=50K
438,<=50K
439,<=50K
440,<=50K
441,<=50K
442,<=50K
443,>50K
444,<=50K
445,<=50K
446,>50K
447,<=50K
448,<=50K
449,>50K
450,<=50K
451,<=50K
452,<=50K
453,<=50K
454,<=50K
455,<=50K
456,<=50K
457,<=50K
458,<=50K
459,<=50K
460,<=50K
461,<=50K
462,<=50K
463,<=50K
464,<=50K
465,<=50K
466,<=50K
467,<=50K
468,>50K
469,<=50K
470,<=50K
471,>50K
472,<=50K
473,<=50K
474,<=50K
475,<=50K
476,>50K
477,<=50K
478,<=50K
479,<=50K
480,<=50K
481,<=50K
482,<=50K
483,<=50K
484,>50K
485,<=50K
486,<=50K
487,<=50K
488,<=50K
489,<=50K
490,<=50K
491,>50K
492,<=50K
493,>50K
494,<=50K
495,<=50K
496,<=50K
497,<=50K
498,<=50K
499,<=50K
500,<=50K
501,<=50K
502,>50K
503,<=50K
504,<=50K
505,<=50K
506,<=50K
507,<=50K
508,>50K
509,<=50K
510,>50K
511,<=50K
512,<=50K
513,>50K
514,<=50K
515,>50K
516,<=50K
517,<=50K
518,>50K
519,>50K
520,<=50K
521,<=50K
522,<=50K
523,<=50K
524,<=50K
525,>50K
526,<=50K
527,<=50K
528,<=50K
529,<=50K
530,<=50K
531,<=50K
532,<=50K
533,<=50K
534,<=50K
535,<=50K
536,>50K
537,<=50K
538,>50K
539,<=50K
540,<=50K
541,<=50K
542,<=50K
543,<=50K
544,<=50K
545,<=50K
546,<=50K
547,>50K
548,<=50K
549,<=50K
550,>50K
551,>50K
552,<=50K
553,>50K
554,<=50K
555,<=50K
556,<=50K
557,<=50K
558,<=50K
559,<=50K
560,<=50K
561,<=50K
562,<=50K
563,<=50K
564,>50K
565,<=50K
566,<=50K
567,<=50K
568,<=50K
569,<=50K
570,<=50K
571,>50K
572,<=50K
573,<=50K
574,>50K
575,<=50K
576,<=50K
577,<=50K
578,<=50K
579,<=50K
580,<=50K
581,<=50K
582,>50K
583,<=50K
584,<=50K
585,<=50K
586,<=50K
587,<=50K
588,<=50K
589,<=50K
590,<=50K
591,<=50K
592,<=50K
593,<=50K
594,<=50K
595,>50K
596,>50K
597,>50K
598,<=50K
599,<=50K
600,<=50K
601,<=50K
602,<=50K
603,>50K
604,<=50K
605,<=50K
606,<=50K
607,<=50K
608,<=50K
609,<=50K
610,<=50K
611,<=50K
612,<=50K
613,<=50K
614,>50K
615,<=50K
616,<=50K
617,>50K
618,<=50K
619,<=50K
620,<=50K
621,<=50K
622,<=50K
623,<=50K
624,<=50K
625,<=50K
626,<=50K
627,<=50K
628,<=50K
629,<=50K
630,<=50K
631,<=50K
632,>50K
633,<=50K
634,<=50K
635,<=50K
636,>50K
637,>50K
638,<=50K
639,<=50K
640,<=50K
641,<=50K
642,<=50K
643,<=50K
644,<=50K
645,<=50K
646,<=50K
647,<=50K
648,<=50K
649,<=50K
650,<=50K
651,<=50K
652,<=50K
653,<=50K
654,<=50K
655,<=50K
656,<=50K
657,<=50K
658,<=50K
659,<=50K
660,<=50K
661,<=50K
662,<=50K
663,<=50K
664,<=50K
665,<=50K
666,<=50K
667,<=50K
668,<=50K
669,<=50K
670,<=50K
671,<=50K
672,<=50K
673,<=50K
674,<=50K
675,<=50K
676,>50K
677,<=50K
678,<=50K
679,<=50K
680,<=50K
681,<=50K
682,>50K
683,<=50K
684,>50K
685,<=50K
686,<=50K
687,<=50K
688,>50K
689,<=50K
690,>50K
691,<=50K
692,>50K
693,<=50K
694,>50K
695,<=50K
696,<=50K
697,<=50K
698,<=50K
699,<=50K
700,<=50K
701,<=50K
702,<=50K
703,<=50K
704,<=50K
705,<=50K
706,<=50K
707,<=50K
708,<=50K
709,<=50K
710,<=50K
711,<=50K
712,<=50K
713,<=50K
714,<=50K
715,<=50K
716,<=50K
717,<=50K
718,<=50K
719,>50K
720,<=50K
721,<=50K
722,>50K
723,<=50K
724,>50K
725,<=50K
726,<=50K
727,<=50K
728,>50K
729,<=50K
730,<=50K
731,<=50K
732,<=50K
733,<=50K
734,<=50K
735,>50K
736,>50K
737,<=50K
738,<=50K
739,<=50K
740,<=50K
741,>50K
742,>50K
743,<=50K
744,<=50K
745,<=50K
746,<=50K
747,<=50K
748,>50K
749,>50K
750,<=50K
751,<=50K
752,>50K
753,<=50K
754,<=50K
755,<=50K
756,<=50K
757,<=50K
758,<=50K
759,>50K
760,<=50K
761,<=50K
762,>50K
763,<=50K
764,<=50K
765,<=50K
766,<=50K
767,<=50K
768,<=50K
769,<=50K
770,<=50K
771,<=50K
772,<=50K
773,<=50K
774,<=50K
775,<=50K
776,<=50K
777,<=50K
778,<=50K
779,<=50K
780,<=50K
781,>50K
782,<=50K
783,<=50K
784,>50K
785,<=50K
786,<=50K
787,<=50K
788,<=50K
789,<=50K
790,>50K
791,>50K
792,<=50K
793,<=50K
794,<=50K
795,<=50K
796,<=50K
797,<=50K
798,>50K
799,>50K
800,<=50K
801,<=50K
802,<=50K
803,<=50K
804,<=50K
805,>50K
806,<=50K
807,<=50K
808,<=50K
809,>50K
810,<=50K
811,<=50K
812,<=50K
813,>50K
814,<=50K
815,<=50K
816,<=50K
817,>50K
818,<=50K
819,>50K
820,<=50K
821,<=50K
822,<=50K
823,<=50K
824,<=50K
825,<=50K
826,>50K
827,<=50K
828,<=50K
829,<=50K
830,>50K
831,<=50K
832,<=50K
833,<=50K
834,<=50K
835,<=50K
836,>50K
837,>50K
838,<=50K
839,<=50K
840,<=50K
841,<=50K
842,<=50K
843,<=50K
844,>50K
845,<=50K
846,<=50K
847,>50K
848,<=50K
849,<=50K
850,<=50K
851,<=50K
852,<=50K
853,>50K
854,<=50K
855,<=50K
856,<=50K
857,<=50K
858,<=50K
859,<=50K
860,<=50K
861,<=50K
862,<=50K
863,<=50K
864,<=50K
865,<=50K
866,<=50K
867,<=50K
868,<=50K
869,<=50K
870,<=50K
871,<=50K
872,<=50K
873,<=50K
874,<=50K
875,<=50K
876,<=50K
877,<=50K
878,<=50K
879,<=50K
880,<=50K
881,<=50K
882,>50K
883,<=50K
884,>50K
885,<=50K
886,<=50K
887,<=50K
888,<=50K
889,<=50K
890,<=50K
891,<=50K
892,<=50K
893,<=50K
894,<=50K
895,<=50K
896,<=50K
897,<=50K
898,<=50K
899,<=50K
900,<=50K
901,<=50K
902,<=50K
903,>50K
904,<=50K
905,<=50K
906,>50K
907,<=50K
908,<=50K
909,<=50K
910,<=50K
911,<=50K
912,<=50K
913,<=50K
914,<=50K
915,<=50K
916,<=50K
917,<=50K
918,<=50K
919,<=50K
920,<=50K
921,<=50K
922,>50K
923,<=50K
924,<=50K
925,<=50K
926,<=50K
927,<=50K
928,<=50K
929,<=50K
930,<=50K
931,<=50K
932,<=50K
933,>50K
934,<=50K
935,<=50K
936,<=50K
937,<=50K
938,<=50K
939,<=50K
940,<=50K
941,<=50K
942,<=50K
943,>50K
944,>50K
945,>50K
946,>50K
947,<=50K
948,<=50K
949,<=50K
950,<=50K
951,<=50K
952,<=50K
953,<=50K
954,<=50K
955,<=50K
956,>50K
957,<=50K
958,<=50K
959,<=50K
960,<=50K
961,>50K
962,<=50K
963,<=50K
964,<=50K
965,<=50K
966,<=50K
967,<=50K
968,>50K
969,<=50K
970,<=50K
971,<=50K
972,<=50K
973,<=50K
974,<=50K
975,<=50K
976,<=50K
977,<=50K
978,<=50K
979,>50K
980,<=50K
981,<=50K
982,<=50K
983,<=50K
984,<=50K
985,<=50K
986,<=50K
987,<=50K
988,>50K
989,<=50K
990,>50K
991,<=50K
992,<=50K
993,<=50K
994,<=50K
995,<=50K
996,<=50K
997,<=50K
998,<=50K
999,<=50K
1000,<=50K
1001,<=50K
1002,<=50K
1003,<=50K
1004,<=50K
1005,<=50K
1006,<=50K
1007,<=50K
1008,<=50K
1009,<=50K
1010,<=50K
1011,>50K
1012,<=50K
1013,<=50K
1014,<=50K
1015,<=50K
1016,<=50K
1017,<=50K
1018,<=50K
1019,<=50K
1020,<=50K
1021,<=50K
1022,<=50K
1023,<=50K
1024,<=50K
1025,<=50K
1026,<=50K
1027,<=50K
1028,<=50K
1029,<=50K
1030,<=50K
1031,>50K
1032,<=50K
1033,<=50K
1034,<=50K
1035,<=50K
1036,>50K
1037,<=50K
1038,<=50K
1039,<=50K
1040,<=50K
1041,>50K
1042,<=50K
1043,<=50K
1044,>50K
1045,<=50K
1046,<=50K
1047,<=50K
1048,>50K
1049,<=50K
1050,<=50K
1051,<=50K
1052,<=50K
1053,>50K
1054,<=50K
1055,<=50K
1056,<=50K
1057,<=50K
1058,<=50K
1059,<=50K
1060,<=50K
1061,>50K
1062,<=50K
1063,<=50K
1064,<=50K
1065,<=50K
1066,<=50K
1067,<=50K
1068,<=50K
1069,<=50K
1070,>50K
1071,<=50K
1072,<=50K
1073,<=50K
1074,<=50K
1075,<=50K
1076,<=50K
1077,<=50K
1078,<=50K
1079,<=50K
1080,<=50K
1081,<=50K
1082,<=50K
1083,<=50K
1084,>50K
1085,<=50K
1086,<=50K
1087,<=50K
1088,<=50K
1089,<=50K
1090,<=50K
1091,<=50K
1092,<=50K
1093,>50K
1094,<=50K
1095,<=50K
1096,<=50K
1097,<=50K
1098,>50K
1099,<=50K
1100,<=50K
1101,<=50K
1102,<=50K
1103,<=50K
1104,<=50K
1105,<=50K
1106,<=50K
1107,<=50K
1108,<=50K
1109,<=50K
1110,<=50K
1111,<=50K
1112,<=50K
1113,<=50K
1114,<=50K
1115,<=50K
1116,<=50K
1117,<=50K
1118,<=50K
1119,<=50K
1120,<=50K
1121,<=50K
1122,<=50K
1123,<=50K
1124,<=50K
1125,<=50K
1126,>50K
1127,<=50K
1128,<=50K
1129,<=50K
1130,<=50K
1131,>50K
1132,<=50K
1133,<=50K
1134,<=50K
1135,>50K
1136,<=50K
1137,<=50K
1138,<=50K
1139,<=50K
1140,<=50K
1141,<=50K
1142,<=50K
1143,>50K
1144,<=50K
1145,<=50K
1146,<=50K
1147,<=50K
1148,<=50K
1149,>50K
1150,<=50K
1151,>50K
1152,<=50K
1153,<=50K
1154,<=50K
1155,<=50K
1156,<=50K
1157,<=50K
1158,<=50K
1159,>50K
1160,<=50K
1161,<=50K
1162,<=50K
1163,<=50K
1164,<=50K
1165,<=50K
1166,>50K
1167,>50K
1168,<=50K
1169,<=50K
1170,<=50K
1171,<=50K
1172,<=50K
1173,>50K
1174,<=50K
1175,<=50K
1176,>50K
1177,<=50K
1178,<=50K
1179,<=50K
1180,<=50K
1181,<=50K
1182,<=50K
1183,<=50K
1184,<=50K
1185,<=50K
1186,<=50K
1187,<=50K
1188,<=50K
1189,<=50K
1190,<=50K
1191,>50K
1192,<=50K
1193,>50K
1194,>50K
1195,<=50K
1196,<=50K
1197,>50K
1198,<=50K
1199,<=50K
1200,<=50K
1201,<=50K
1202,<=50K
1203,<=50K
1204,<=50K
1205,<=50K
1206,<=50K
1207,<=50K
1208,<=50K
1209,<=50K
1210,>50K
1211,>50K
1212,<=50K
1213,<=50K
1214,<=50K
1215,<=50K
1216,>50K
1217,>50K
1218,<=50K
1219,>50K
1220,<=50K
1221,<=50K
1222,<=50K
1223,<=50K
1224,<=50K
1225,<=50K
1226,<=50K
1227,<=50K
1228,<=50K
1229,<=50K
1230,<=50K
1231,<=50K
1232,<=50K
1233,<=50K
1234,<=50K
1235,>50K
1236,>50K
1237,<=50K
1238,<=50K
1239,>50K
1240,<=50K
1241,<=50K
1242,<=50K
1243,>50K
1244,<=50K
1245,>50K
1246,<=50K
1247,<=50K
1248,>50K
1249,<=50K
1250,<=50K
1251,>50K
1252,<=50K
1253,<=50K
1254,<=50K
1255,<=50K
1256,<=50K
1257,>50K
1258,<=50K
1259,<=50K
1260,<=50K
1261,<=50K
1262,<=50K
1263,<=50K
1264,<=50K
1265,<=50K
1266,<=50K
1267,<=50K
1268,<=50K
1269,>50K
1270,<=50K
1271,<=50K
1272,<=50K
1273,<=50K
1274,<=50K
1275,<=50K
1276,<=50K
1277,<=50K
1278,<=50K
1279,<=50K
1280,<=50K
1281,<=50K
1282,>50K
1283,<=50K
1284,<=50K
1285,<=50K
1286,<=50K
1287,>50K
1288,<=50K
1289,<=50K
1290,<=50K
1291,<=50K
1292,>50K
1293,<=50K
1294,<=50K
1295,<=50K
1296,<=50K
1297,<=50K
1298,<=50K
1299,<=50K
1300,<=50K
1301,<=50K
1302,<=50K
1303,<=50K
1304,<=50K
1305,<=50K
1306,<=50K
1307,>50K
1308,<=50K
1309,>50K
1310,<=50K
1311,<=50K
1312,<=50K
1313,<=50K
1314,<=50K
1315,<=50K
1316,<=50K
1317,>50K
1318,<=50K
1319,<=50K
1320,<=50K
1321,<=50K
1322,<=50K
1323,<=50K
1324,<=50K
1325,<=50K
1326,<=50K
1327,<=50K
1328,<=50K
1329,<=50K
1330,>50K
1331,<=50K
1332,>50K
1333,<=50K
1334,<=50K
1335,<=50K
1336,<=50K
1337,<=50K
1338,<=50K
1339,<=50K
1340,<=50K
1341,<=50K
1342,<=50K
1343,<=50K
1344,<=50K
1345,<=50K
1346,<=50K
1347,<=50K
1348,<=50K
1349,<=50K
1350,<=50K
1351,<=50K
1352,>50K
1353,<=50K
1354,<=50K
1355,<=50K
1356,<=50K
1357,<=50K
1358,<=50K
1359,<=50K
1360,<=50K
1361,<=50K
1362,<=50K
1363,<=50K
1364,<=50K
1365,<=50K
1366,<=50K
1367,<=50K
1368,<=50K
1369,>50K
1370,<=50K
1371,<=50K
1372,<=50K
1373,<=50K
1374,>50K
1375,<=50K
1376,>50K
1377,>50K
1378,<=50K
1379,<=50K
1380,<=50K
1381,<=50K
1382,<=50K
1383,<=50K
1384,<=50K
1385,<=50K
1386,<=50K
1387,<=50K
1388,<=50K
1389,<=50K
1390,<=50K
1391,<=50K
1392,<=50K
1393,<=50K
1394,<=50K
1395,<=50K
1396,<=50K
1397,<=50K
1398,<=50K
1399,<=50K
1400,<=50K
1401,<=50K
1402,<=50K
1403,<=50K
1404,<=50K
1405,<=50K
1406,<=50K
1407,>50K
1408,<=50K
1409,<=50K
1410,<=50K
1411,<=50K
1412,>50K
1413,<=50K
1414,<=50K
1415,<=50K
1416,<=50K
1417,>50K
1418,<=50K
1419,<=50K
1420,<=50K
1421,<=50K
1422,<=50K
1423,<=50K
1424,<=50K
1425,<=50K
1426,<=50K
1427,<=50K
1428,<=50K
1429,<=50K
1430,<=50K
1431,<=50K
1432,<=50K
1433,<=50K
1434,<=50K
1435,>50K
1436,<=50K
1437,<=50K
1438,<=50K
1439,<=50K
1440,<=50K
1441,<=50K
1442,<=50K
1443,<=50K
1444,<=50K
1445,>50K
1446,<=50K
1447,<=50K
1448,<=50K
1449,<=50K
1450,<=50K
1451,<=50K
1452,>50K
1453,>50K
1454,<=50K
1455,<=50K
1456,<=50K
1457,<=50K
1458,<=50K
1459,>50K
1460,<=50K
1461,<=50K
1462,<=50K
1463,<=50K
1464,<=50K
1465,<=50K
1466,<=50K
1467,<=50K
1468,<=50K
1469,<=50K
1470,<=50K
1471,<=50K
1472,<=50K
1473,<=50K
1474,<=50K
1475,<=50K
1476,<=50K
1477,<=50K
1478,<=50K
1479,<=50K
1480,<=50K
1481,<=50K
1482,<=50K
1483,<=50K
1484,<=50K
1485,<=50K
1486,<=50K
1487,<=50K
1488,<=50K
1489,>50K
1490,<=50K
1491,<=50K
1492,<=50K
1493,<=50K
1494,>50K
1495,<=50K
1496,<=50K
1497,>50K
1498,<=50K
1499,<=50K
1500,<=50K
1501,<=50K
1502,<=50K
1503,<=50K
1504,>50K
1505,<=50K
1506,<=50K
1507,<=50K
1508,>50K
1509,<=50K
1510,<=50K
1511,<=50K
1512,<=50K
1513,<=50K
1514,<=50K
1515,<=50K
1516,>50K
1517,<=50K
1518,<=50K
1519,>50K
1520,<=50K
1521,<=50K
1522,<=50K
1523,<=50K
1524,<=50K
1525,<=50K
1526,<=50K
1527,<=50K
1528,<=50K
1529,<=50K
1530,<=50K
1531,<=50K
1532,<=50K
1533,<=50K
1534,>50K
1535,<=50K
1536,<=50K
1537,>50K
1538,<=50K
1539,>50K
1540,<=50K
1541,<=50K
1542,<=50K
1543,<=50K
1544,<=50K
1545,<=50K
1546,<=50K
1547,<=50K
1548,<=50K
1549,<=50K
1550,<=50K
1551,<=50K
1552,<=50K
1553,<=50K
1554,>50K
1555,<=50K
1556,<=50K
1557,<=50K
1558,<=50K
1559,<=50K
1560,<=50K
1561,<=50K
1562,<=50K
1563,>50K
1564,<=50K
1565,<=50K
1566,<=50K
1567,<=50K
1568,<=50K
1569,<=50K
1570,<=50K
1571,<=50K
1572,<=50K
1573,<=50K
1574,<=50K
1575,<=50K
1576,>50K
1577,<=50K
1578,<=50K
1579,>50K
1580,<=50K
1581,<=50K
1582,<=50K
1583,<=50K
1584,<=50K
1585,>50K
1586,<=50K
1587,<=50K
1588,<=50K
1589,<=50K
1590,<=50K
1591,<=50K
1592,<=50K
1593,<=50K
1594,<=50K
1595,<=50K
1596,<=50K
1597,<=50K
1598,<=50K
1599,<=50K
1600,<=50K
1601,<=50K
1602,<=50K
1603,<=50K
1604,<=50K
1605,<=50K
1606,<=50K
1607,<=50K
1608,>50K
1609,<=50K
1610,<=50K
1611,<=50K
1612,<=50K
1613,<=50K
1614,<=50K
1615,<=50K
1616,<=50K
1617,<=50K
1618,<=50K
1619,<=50K
1620,<=50K
1621,<=50K
1622,<=50K
1623,<=50K
1624,<=50K
1625,<=50K
1626,<=50K
1627,<=50K
1628,<=50K
1629,<=50K
1630,>50K
1631,<=50K
1632,>50K
1633,<=50K
1634,<=50K
1635,<=50K
1636,<=50K
1637,<=50K
1638,>50K
1639,>50K
1640,<=50K
1641,<=50K
1642,<=50K
1643,<=50K
1644,<=50K
1645,>50K
1646,<=50K
1647,<=50K
1648,<=50K
1649,<=50K
1650,<=50K
1651,<=50K
1652,<=50K
1653,<=50K
1654,<=50K
1655,<=50K
1656,<=50K
1657,<=50K
1658,<=50K
1659,<=50K
1660,<=50K
1661,<=50K
1662,<=50K
1663,<=50K
1664,<=50K
1665,<=50K
1666,<=50K
1667,>50K
1668,<=50K
1669,<=50K
1670,<=50K
1671,<=50K
1672,<=50K
1673,<=50K
1674,<=50K
1675,<=50K
1676,<=50K
1677,>50K
1678,<=50K
1679,<=50K
1680,<=50K
1681,<=50K
1682,<=50K
1683,<=50K
1684,<=50K
1685,<=50K
1686,<=50K
1687,<=50K
1688,<=50K
1689,<=50K
1690,<=50K
1691,<=50K
1692,<=50K
1693,<=50K
1694,<=50K
1695,<=50K
1696,<=50K
1697,<=50K
1698,<=50K
1699,>50K
1700,<=50K
1701,<=50K
1702,<=50K
1703,<=50K
1704,<=50K
1705,<=50K
1706,<=50K
1707,<=50K
1708,<=50K
1709,<=50K
1710,<=50K
1711,<=50K
1712,<=50K
1713,<=50K
1714,>50K
1715,<=50K
1716,<=50K
1717,<=50K
1718,<=50K
1719,<=50K
1720,<=50K
1721,>50K
1722,<=50K
1723,<=50K
1724,>50K
1725,<=50K
1726,<=50K
1727,<=50K
1728,<=50K
1729,<=50K
1730,<=50K
1731,<=50K
1732,<=50K
1733,<=50K
1734,<=50K
1735,<=50K
1736,<=50K
1737,<=50K
1738,<=50K
1739,>50K
1740,<=50K
1741,>50K
1742,<=50K
1743,>50K
1744,<=50K
1745,<=50K
1746,>50K
1747,<=50K
1748,<=50K
1749,<=50K
1750,<=50K
1751,<=50K
1752,<=50K
1753,<=50K
1754,<=50K
1755,<=50K
1756,<=50K
1757,<=50K
1758,<=50K
1759,<=50K
1760,<=50K
1761,<=50K
1762,<=50K
1763,<=50K
1764,>50K
1765,<=50K
1766,<=50K
1767,<=50K
1768,<=50K
1769,<=50K
1770,<=50K
1771,<=50K
1772,<=50K
1773,<=50K
1774,<=50K
1775,<=50K
1776,<=50K
1777,<=50K
1778,<=50K
1779,<=50K
1780,<=50K
1781,<=50K
1782,<=50K
1783,<=50K
1784,<=50K
1785,<=50K
1786,<=50K
1787,<=50K
1788,<=50K
1789,<=50K
1790,<=50K
1791,<=50K
1792,<=50K
1793,<=50K
1794,<=50K
1795,<=50K
1796,<=50K
1797,<=50K
1798,<=50K
1799,<=50K
1800,<=50K
1801,<=50K
1802,<=50K
1803,<=50K
1804,<=50K
1805,<=50K
1806,<=50K
1807,<=50K
1808,>50K
1809,<=50K
1810,<=50K
1811,<=50K
1812,<=50K
1813,<=50K
1814,<=50K
1815,<=50K
1816,<=50K
1817,<=50K
1818,<=50K
1819,<=50K
1820,<=50K
1821,<=50K
1822,<=50K
1823,<=50K
1824,<=50K
1825,<=50K
1826,<=50K
1827,>50K
1828,<=50K
1829,<=50K
1830,<=50K
1831,<=50K
1832,<=50K
1833,<=50K
1834,>50K
1835,<=50K
1836,<=50K
1837,<=50K
1838,<=50K
1839,<=50K
1840,<=50K
1841,<=50K
1842,<=50K
1843,<=50K
1844,<=50K
1845,<=50K
1846,<=50K
1847,<=50K
1848,<=50K
1849,<=50K
1850,<=50K
1851,<=50K
1852,<=50K
1853,<=50K
1854,>50K
1855,<=50K
1856,<=50K
1857,<=50K
1858,<=50K
1859,<=50K
1860,<=50K
1861,<=50K
1862,>50K
1863,<=50K
1864,<=50K
1865,<=50K
1866,<=50K
1867,<=50K
1868,<=50K
1869,<=50K
1870,>50K
1871,<=50K
1872,<=50K
1873,<=50K
1874,<=50K
1875,<=50K
1876,<=50K
1877,>50K
1878,<=50K
1879,<=50K
1880,<=50K
1881,<=50K
1882,<=50K
1883,<=50K
1884,<=50K
1885,<=50K
1886,<=50K
1887,<=50K
1888,>50K
1889,<=50K
1890,<=50K
1891,<=50K
1892,<=50K
1893,<=50K
1894,<=50K
1895,<=50K
1896,<=50K
1897,<=50K
1898,<=50K
1899,<=50K
1900,<=50K
1901,>50K
1902,>50K
1903,<=50K
1904,<=50K
1905,<=50K
